<<<<<<< HEAD
"namePlayer","games","minutes_pg","fga","fg3a","fta","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct"
"James Harden",72,35.4027777777778,20.125,10.0277777777778,10.0972222222222,30.4305555555556,5.40277777777778,8.75,1.75,0.694444444444444,0.447638888888889,0.36533608684344,0.858375
"LeBron James",82,36.8780487804878,19.2682926829268,4.95121951219512,6.47560975609756,27.4512195121951,8.64634146341463,9.10975609756098,1.41463414634146,0.865853658536585,0.540792682926829,0.328820874247704,0.720524390243902
"Damian Lillard",73,36.6027397260274,19.3835616438356,8.61643835616438,7.36986301369863,26.8767123287671,4.45205479452055,6.58904109589041,1.05479452054795,0.36986301369863,0.436534246575342,0.341439515583351,0.913
"Giannis Antetokounmpo",75,36.8133333333333,18.6933333333333,1.86666666666667,8.54666666666667,26.8533333333333,10.04,4.81333333333333,1.45333333333333,1.41333333333333,0.527493333333333,0.232666666666667,0.772416666666667
"Stephen Curry",51,31.9607843137255,16.9411764705882,9.82352941176471,5.92156862745098,26.3921568627451,5.11764705882353,6.07843137254902,1.56862745098039,0.156862745098039,0.485509803921569,0.410374919198449,0.907020408163265
"Kevin Durant",68,34.25,17.9705882352941,6.07352941176471,5.94117647058824,26.3529411764706,6.82352941176471,5.38235294117647,0.735294117647059,1.75,0.523573529411765,0.415437462863933,0.875588235294118
"Russell Westbrook",80,36.4625,21.0875,4.075,7.075,25.35,10.05,10.25,1.8375,0.25,0.4474875,0.292703373015873,0.738088607594937
"Kyrie Irving",60,32.2,18.1166666666667,6.78333333333333,4.35,24.4333333333333,3.78333333333333,5.1,1.08333333333333,0.283333333333333,0.4852,0.391093674843675,0.889684210526316
"Joel Embiid",63,30.3809523809524,16.7619047619048,3.3968253968254,7.41269841269841,22.9365079365079,10.952380952381,3.15873015873016,0.634920634920635,1.76190476190476,0.484285714285714,0.287679516250945,0.764741935483871
"Kemba Walker",80,34.2375,17.0375,7.5125,5.25,22.125,3.1,5.55,1.1375,0.3,0.4269125,0.373900509213009,0.843054794520548
"Paul George",79,36.6329113924051,16.9620253164557,7.70886075949367,5.20253164556962,21.9493670886076,5.65822784810127,3.32911392405063,2.0379746835443,0.493670886075949,0.424329113924051,0.38555990423079,0.809583333333333
"Blake Griffin",58,33.948275862069,17.1724137931034,5.55172413793103,5.68965517241379,21.4137931034483,7.37931034482759,5.75862068965517,0.689655172413793,0.310344827586207,0.440431034482759,0.332081280788177,0.780127272727273
"Nikola Jokić",75,32.56,13.4666666666667,3.73333333333333,4.17333333333333,18.4666666666667,10.7066666666667,6.10666666666667,1.2,0.813333333333333,0.490293333333333,0.407814814814815,0.838015625
"Kawhi Leonard",9,23.4444444444444,12.3333333333333,3.88888888888889,4.22222222222222,16.2222222222222,4.66666666666667,2.33333333333333,2,1,0.479888888888889,0.299074074074074,0.775
"Rudy Gobert",56,32.3928571428571,7.92857142857143,0,5.33928571428571,13.5,10.7321428571429,1.42857142857143,0.785714285714286,2.30357142857143,0.610696428571429,0,0.65972
=======
"namePlayer","games","minutes_pg","fga","fg3a","fta","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","all_nba_team"
"James Harden",72,35.4027777777778,20.125,10.0277777777778,10.0972222222222,30.4305555555556,5.40277777777778,8.75,1.75,0.694444444444444,0.447638888888889,0.36533608684344,0.858375,"1"
"Giannis Antetokounmpo",75,36.8133333333333,18.6933333333333,1.86666666666667,8.54666666666667,26.8533333333333,10.04,4.81333333333333,1.45333333333333,1.41333333333333,0.527493333333333,0.232666666666667,0.772416666666667,"1"
"Stephen Curry",51,31.9607843137255,16.9411764705882,9.82352941176471,5.92156862745098,26.3921568627451,5.11764705882353,6.07843137254902,1.56862745098039,0.156862745098039,0.485509803921569,0.410374919198449,0.907020408163265,"1"
"Paul George",79,36.6329113924051,16.9620253164557,7.70886075949367,5.20253164556962,21.9493670886076,5.65822784810127,3.32911392405063,2.0379746835443,0.493670886075949,0.424329113924051,0.38555990423079,0.809583333333333,"1"
"Nikola Jokić",75,32.56,13.4666666666667,3.73333333333333,4.17333333333333,18.4666666666667,10.7066666666667,6.10666666666667,1.2,0.813333333333333,0.490293333333333,0.407814814814815,0.838015625,"1"
"Damian Lillard",73,36.6027397260274,19.3835616438356,8.61643835616438,7.36986301369863,26.8767123287671,4.45205479452055,6.58904109589041,1.05479452054795,0.36986301369863,0.436534246575342,0.341439515583351,0.913,"2"
"Kevin Durant",68,34.25,17.9705882352941,6.07352941176471,5.94117647058824,26.3529411764706,6.82352941176471,5.38235294117647,0.735294117647059,1.75,0.523573529411765,0.415437462863933,0.875588235294118,"2"
"Kyrie Irving",60,32.2,18.1166666666667,6.78333333333333,4.35,24.4333333333333,3.78333333333333,5.1,1.08333333333333,0.283333333333333,0.4852,0.391093674843675,0.889684210526316,"2"
"Joel Embiid",63,30.3809523809524,16.7619047619048,3.3968253968254,7.41269841269841,22.9365079365079,10.952380952381,3.15873015873016,0.634920634920635,1.76190476190476,0.484285714285714,0.287679516250945,0.764741935483871,"2"
"Kawhi Leonard",9,23.4444444444444,12.3333333333333,3.88888888888889,4.22222222222222,16.2222222222222,4.66666666666667,2.33333333333333,2,1,0.479888888888889,0.299074074074074,0.775,"2"
"LeBron James",82,36.8780487804878,19.2682926829268,4.95121951219512,6.47560975609756,27.4512195121951,8.64634146341463,9.10975609756098,1.41463414634146,0.865853658536585,0.540792682926829,0.328820874247704,0.720524390243902,"3"
"Russell Westbrook",80,36.4625,21.0875,4.075,7.075,25.35,10.05,10.25,1.8375,0.25,0.4474875,0.292703373015873,0.738088607594937,"3"
"Kemba Walker",80,34.2375,17.0375,7.5125,5.25,22.125,3.1,5.55,1.1375,0.3,0.4269125,0.373900509213009,0.843054794520548,"3"
"Blake Griffin",58,33.948275862069,17.1724137931034,5.55172413793103,5.68965517241379,21.4137931034483,7.37931034482759,5.75862068965517,0.689655172413793,0.310344827586207,0.440431034482759,0.332081280788177,0.780127272727273,"3"
"Rudy Gobert",56,32.3928571428571,7.92857142857143,0,5.33928571428571,13.5,10.7321428571429,1.42857142857143,0.785714285714286,2.30357142857143,0.610696428571429,0,0.65972,"3"
>>>>>>> c98127b (added 2022 and 2018 all star team #'s (1-3) to selected players)
