"namePlayer","games","minutes_pg","fga","fg3a","fta","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","all_nba_team"
"Giannis Antetokounmpo",67,32.9402985074627,18.5820895522388,3.61194029850746,11.4328358208955,29.8805970149254,11.6119402985075,5.7910447761194,1.07462686567164,1.35820895522388,0.54989552238806,0.274752859081217,0.727731343283582,"1"
"Luka Dončić",65,35.4,21.5846153846154,8.75384615384615,7.52307692307692,28.4153846153846,9.12307692307692,8.73846153846154,1.15384615384615,0.553846153846154,0.451984615384615,0.332648035724959,0.73065625,"1"
"Nikola Jokić",74,33.4324324324324,17.7162162162162,3.89189189189189,6.32432432432432,27.0810810810811,13.7702702702703,7.89189189189189,1.47297297297297,0.851351351351351,0.599121621621622,0.32797619047619,0.830125,"1"
"Jayson Tatum",76,35.9473684210526,20.5789473684211,8.56578947368421,6.17105263157895,26.9210526315789,8.01315789473684,4.39473684210526,0.986842105263158,0.644736842105263,0.452526315789474,0.331417486022749,0.836066666666667,"1"
"Devin Booker",68,34.4558823529412,20.8970588235294,7.02941176470588,5.33823529411765,26.7941176470588,5.02941176470588,4.83823529411765,1.13235294117647,0.382352941176471,0.462397058823529,0.372732210599858,0.854634920634921,"1"
"Joel Embiid",68,33.7647058823529,19.6176470588235,3.69117647058824,11.8088235294118,30.5735294117647,11.7058823529412,4.17647058823529,1.13235294117647,1.45588235294118,0.493073529411765,0.365616246498599,0.812073529411765,"2"
"Kevin Durant",55,37.2181818181818,20.2727272727273,5.45454545454545,7.43636363636364,29.8727272727273,7.4,6.38181818181818,0.872727272727273,0.945454545454545,0.527963636363636,0.393828696555969,0.904654545454545,"2"
"DeMar DeRozan",76,36.1315789473684,20.1973684210526,1.86842105263158,7.80263157894737,27.8684210526316,5.15789473684211,4.92105263157895,0.894736842105263,0.315789473684211,0.503986842105263,0.312061403508772,0.859053333333333,"2"
"Ja Morant",57,33.2280701754386,20.6491228070175,4.49122807017544,7.28070175438596,27.4385964912281,5.70175438596491,6.73684210526316,1.15789473684211,0.385964912280702,0.482701754385965,0.305680868838764,0.7725,"2"
"Stephen Curry",64,34.546875,19.125,11.71875,4.65625,25.46875,5.234375,6.3125,1.328125,0.359375,0.433671875,0.374379127091733,0.88919298245614,"2"
"LeBron James",56,37.2321428571429,21.8035714285714,8,6,30.2678571428571,8.19642857142857,6.23214285714286,1.30357142857143,1.05357142857143,0.523964285714286,0.355548964923965,0.765089285714286,"3"
"Trae Young",76,34.8421052631579,20.3157894736842,8.02631578947368,7.27631578947368,28.3552631578947,3.73684210526316,9.69736842105263,0.947368421052632,0.0921052631578947,0.454973684210526,0.361216232597812,0.897810810810811,"3"
"Karl-Anthony Towns",74,33.4324324324324,16.4054054054054,4.94594594594595,6.31081081081081,24.5675675675676,9.82432432432432,3.63513513513514,0.972972972972973,1.12162162162162,0.534445945945946,0.403244315744316,0.832430555555556,"3"
"Pascal Siakam",68,37.9264705882353,17.75,3.20588235294118,5.57352941176471,22.8088235294118,8.52941176470588,5.29411764705882,1.25,0.617647058823529,0.489147058823529,0.319047619047619,0.750984375,"3"
"Chris Paul",65,32.9230769230769,11.3230769230769,3.06153846153846,3.10769230769231,14.7384615384615,4.35384615384615,10.8,1.86153846153846,0.307692307692308,0.496723076923077,0.287380952380952,0.829207547169811,"3"
